year,day,date,temperature,error,net.treatment,shrub.x,shrub.y,shrub.z,rep,all.insects,insect.RTU,total.duration,floral.density,start,stop,visitation.duration,flowers.visited,observation.type,shrub.volume
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:07:46,1:08:03,0.004722222222222222,1,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:17:26,1:17:44,0.005,2,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:10:51,1:11:11,0.005555555555555556,3,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,0:41:55,0:42:17,0.006111111111111111,2,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:16:00,1:16:38,0.010555555555555556,3,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,0:32:42,0:33:32,0.013888888888888888,2,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:13:46,1:14:38,0.014444444444444444,5,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:07:55,1:09:00,0.018055555555555554,3,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:25:19,1:26:28,0.019166666666666665,2,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,1:09:18,1:10:39,0.0225,3,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,0:18:29,0:20:09,0.027777777777777776,2,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,1.5294444444444444,11,0:53:37,0:55:18,0.028055555555555556,3,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,0.25,200,0,0,NA,NA,in-situ,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,MB,bees,0.25,200,0,0,NA,NA,in-situ,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,SB,bees,1.5294444444444444,11,1:12:35,1:12:55,0.005555555555555556,2,video,91.48317807253476
2015,1,2015-04-01,24.12911111,1.353370498,Annual flowers under Larrea,2.6,3.5,2.4,3,SF,flies,1.5294444444444444,11,0:11:13,0:11:20,0.0019444444444444444,2,video,91.48317807253476
